Invoice Date,Serial (مسلسل),Code (الكود),Item Name (اسم الصنف),Quantity (الكمية),Unit Size (الوحدة),Public Price (سعر الجمهور),Discount % (الخصم %),Discount Val (الخصم ق),Unit Price (السعر),Total Amount (القيمة),Invoice Total (الإجمالي),Invoice Discount % (الخصم %),Invoice Discount Val (الخصم),Invoice Net (الصافي),Invoice Paid (المدفوع),Invoice Remaining (المتبقي),Client Balance (رصيد عميل),Current Balance (رصيد حالي),Net In Words (الصافي فقط),Brand,Category (inferred),Data Quality Status,Notes
2026-01-07,1,2318,فهرنهيت جينرال 94,0,125,2430.0,0.0,243.0,2430.0,273.38,1394.21,0.0,0.21,1394.0,1394.0,0.0,,,,,Oil/ml (B),Reasonably clear,
2026-01-07,2,1383,جركن كحول 95,5,0,60.0,0.0,0.0,60.0,300.0,1394.21,0.0,0.21,1394.0,1394.0,0.0,,,,,Piece (A),Reasonably clear,
2026-01-07,3,1474,بستة كحول,3,0,100.0,0.0,0.0,100.0,300.0,1394.21,0.0,0.21,1394.0,1394.0,0.0,,,,,Piece (A),Reasonably clear,
2026-01-07,4,3761,بخور اقماع انسام ياقوت و كهرامان,1,0,62.5,0.0,0.0,62.5,62.5,1394.21,0.0,0.21,1394.0,1394.0,0.0,,,,,Piece (A),Reasonably clear,
2026-01-07,5,3760,بخور اقماع انسام زمرد و ارابيسك,2,0,80.42,0.0,0.0,80.42,160.83,1394.21,0.0,0.21,1394.0,1394.0,0.0,,,,,Piece (A),Needs verification,MULTIPLE NAMES FOR SAME CODE (2) - verify which is correct
2026-01-07,6,2268,بخور انسام القاع,7,0,42.5,0.0,0.0,42.5,297.5,1394.21,0.0,0.21,1394.0,1394.0,0.0,,,,,Piece (A),Needs verification,MULTIPLE NAMES FOR SAME CODE (2) - verify which is correct
2026-01-07,1,2972,سترونجر ويز يو لوتس,0,125,3845.0,0.0,384.5,3845.0,432.56,1265.06,0.0,0.06,1265.0,1265.0,0.0,,,,,Oil/ml (B),Needs verification,"Sold in multiple volumes historically: [125, 250] ml - size is transaction-level, not fixed pack size"
2026-01-07,2,1787,الترامال جيفودال 1074,0,125,3500.0,0.0,350.0,3500.0,393.75,1265.06,0.0,0.06,1265.0,1265.0,0.0,,,,,Oil/ml (B),Needs verification,"Sold in multiple volumes historically: [125, 250] ml - size is transaction-level, not fixed pack size"
2026-01-07,3,2169,جود جيرال ارماتيك 62586,0,125,3900.0,0.0,390.0,3900.0,438.75,1265.06,0.0,0.06,1265.0,1265.0,0.0,,,,,Oil/ml (B),Needs verification,"Sold in multiple volumes historically: [125, 250] ml - size is transaction-level, not fixed pack size"
2026-02-11 12:53 PM,1,3064,لاف ايست بيل 2 داميش 682208,0,125,3550.0,10.0,355.0,3195.0,399.38,12105.0,0.007,0.831,12104.0,7104.0,5000.0,0.0,5000.0,فقط إثنى عشر ألف و أربعة أربعة جنيه لا غير,,Oil/ml (B),Needs verification,"Sold in multiple volumes historically: [125, 250] ml - size is transaction-level, not fixed pack size"
