label,file,window_id,start_sample,end_sample
HH,HH.csv,0,0,8192
HH,HH.csv,1,4096,12288
HH,HH.csv,2,8192,16384
HH,HH.csv,3,12288,20480
HH,HH.csv,4,16384,24576
HH,HH.csv,5,20480,28672
HH,HH.csv,6,24576,32768
HH,HH.csv,7,28672,36864
HH,HH.csv,8,32768,40960
HH,HH.csv,9,36864,45056
HH,HH.csv,10,40960,49152
HH,HH.csv,11,45056,53248
HH,HH.csv,12,49152,57344
HH,HH.csv,13,53248,61440
HH,HH.csv,14,57344,65536
HH,HH.csv,15,61440,69632
HH,HH.csv,16,65536,73728
HH,HH.csv,17,69632,77824
HH,HH.csv,18,73728,81920
HH,HH.csv,19,77824,86016
HH,HH.csv,20,81920,90112
HH,HH.csv,21,86016,94208
HH,HH.csv,22,90112,98304
HH,HH.csv,23,94208,102400
HH,HH.csv,24,98304,106496
HH,HH.csv,25,102400,110592
HH,HH.csv,26,106496,114688
HH,HH.csv,27,110592,118784
HH,HH.csv,28,114688,122880
HH,HH.csv,29,118784,126976
HH,HH.csv,30,122880,131072
HH,HH.csv,31,126976,135168
HH,HH.csv,32,131072,139264
HH,HH.csv,33,135168,143360
HH,HH.csv,34,139264,147456
HH,HH.csv,35,143360,151552
HH,HH.csv,36,147456,155648
HH,HH.csv,37,151552,159744
HH,HH.csv,38,155648,163840
HH,HH.csv,39,159744,167936
HH,HH.csv,40,163840,172032
HH,HH.csv,41,167936,176128
HH,HH.csv,42,172032,180224
HH,HH.csv,43,176128,184320
HH,HH.csv,44,180224,188416
HH,HH.csv,45,184320,192512
HH,HH.csv,46,188416,196608
HH,HH.csv,47,192512,200704
HH,HH.csv,48,196608,204800
HH,HH.csv,49,200704,208896
HH,HH.csv,50,204800,212992
HH,HH.csv,51,208896,217088
HH,HH.csv,52,212992,221184
HH,HH.csv,53,217088,225280
HH,HH.csv,54,221184,229376
HH,HH.csv,55,225280,233472
HH,HH.csv,56,229376,237568
HH,HH.csv,57,233472,241664
HH,HH.csv,58,237568,245760
HH,HH.csv,59,241664,249856
HH,HH.csv,60,245760,253952
IR,IR.csv,0,0,8192
IR,IR.csv,1,4096,12288
IR,IR.csv,2,8192,16384
IR,IR.csv,3,12288,20480
IR,IR.csv,4,16384,24576
IR,IR.csv,5,20480,28672
IR,IR.csv,6,24576,32768
IR,IR.csv,7,28672,36864
IR,IR.csv,8,32768,40960
IR,IR.csv,9,36864,45056
IR,IR.csv,10,40960,49152
IR,IR.csv,11,45056,53248
IR,IR.csv,12,49152,57344
IR,IR.csv,13,53248,61440
IR,IR.csv,14,57344,65536
IR,IR.csv,15,61440,69632
IR,IR.csv,16,65536,73728
IR,IR.csv,17,69632,77824
IR,IR.csv,18,73728,81920
IR,IR.csv,19,77824,86016
IR,IR.csv,20,81920,90112
IR,IR.csv,21,86016,94208
IR,IR.csv,22,90112,98304
IR,IR.csv,23,94208,102400
IR,IR.csv,24,98304,106496
IR,IR.csv,25,102400,110592
IR,IR.csv,26,106496,114688
IR,IR.csv,27,110592,118784
IR,IR.csv,28,114688,122880
IR,IR.csv,29,118784,126976
IR,IR.csv,30,122880,131072
IR,IR.csv,31,126976,135168
IR,IR.csv,32,131072,139264
IR,IR.csv,33,135168,143360
IR,IR.csv,34,139264,147456
IR,IR.csv,35,143360,151552
IR,IR.csv,36,147456,155648
IR,IR.csv,37,151552,159744
IR,IR.csv,38,155648,163840
IR,IR.csv,39,159744,167936
IR,IR.csv,40,163840,172032
IR,IR.csv,41,167936,176128
IR,IR.csv,42,172032,180224
IR,IR.csv,43,176128,184320
IR,IR.csv,44,180224,188416
IR,IR.csv,45,184320,192512
IR,IR.csv,46,188416,196608
IR,IR.csv,47,192512,200704
IR,IR.csv,48,196608,204800
IR,IR.csv,49,200704,208896
IR,IR.csv,50,204800,212992
IR,IR.csv,51,208896,217088
IR,IR.csv,52,212992,221184
IR,IR.csv,53,217088,225280
IR,IR.csv,54,221184,229376
IR,IR.csv,55,225280,233472
IR,IR.csv,56,229376,237568
IR,IR.csv,57,233472,241664
IR,IR.csv,58,237568,245760
IR,IR.csv,59,241664,249856
IR,IR.csv,60,245760,253952
OR,OR.csv,0,0,8192
OR,OR.csv,1,4096,12288
OR,OR.csv,2,8192,16384
OR,OR.csv,3,12288,20480
OR,OR.csv,4,16384,24576
OR,OR.csv,5,20480,28672
OR,OR.csv,6,24576,32768
OR,OR.csv,7,28672,36864
OR,OR.csv,8,32768,40960
OR,OR.csv,9,36864,45056
OR,OR.csv,10,40960,49152
OR,OR.csv,11,45056,53248
OR,OR.csv,12,49152,57344
OR,OR.csv,13,53248,61440
OR,OR.csv,14,57344,65536
OR,OR.csv,15,61440,69632
OR,OR.csv,16,65536,73728
OR,OR.csv,17,69632,77824
